produto,grupo,item,tipo,idioma,url,texto,data,local,ordem,status,observacao
CIMI360,Texto,Texto padrão,texto,,,"Olá, {primeiro_nome},
Foi um prazer estar com você no {evento}.
Seguem informações sobre nosso evento.",,,1,,
CIMI360,Institucional,Sobre,link,,,,,,2,,
CIMI360,Institucional,Site,link,,,,,,3,,
CIMI360,Institucional,App,link,,,,,,4,,
CIMI360,Mídia Kit,Mídia Kit,link,PT,,,,,5,,
CIMI360,Mídia Kit,Mídia Kit,link,ENG,,,,,6,,
CIMI360,Mídia Kit,Mídia Kit,link,ESP,,,,,7,,
CIMI360,Vídeo,Aftermovie,link,,,,,,8,,
CIMI360,Vídeo,Vem aí,link,,,,,,9,,
CIMI360,Vídeo,Feira Completo,link,,,,,,10,,
CIMI360,MOU,MOU,link,PT,,,,,11,,
CIMI360,MOU,MOU,link,ENG,,,,,12,,
CIMI360,MOU,MOU,link,ESP,,,,,13,,
CIMI Invest,Texto,Texto padrão,texto,,,"Olá, {primeiro_nome},
Foi um prazer estar com você no {evento}.

O CIMI Invest é uma plataforma de negócios, oportunidades e atração de investimentos nacionais e internacionais. Participamos de pelo menos 25 eventos onde levamos produtos brasileiros para venda ou atração de parcerias e investidores.",,,14,,
CIMI Invest,Institucional,Sobre,link,,,,,,15,,
CIMI Invest,Institucional,Site,link,,,,,,16,,
CIMI Invest,Institucional,Flyer,link,,,,,,17,,
CIMI Invest,Institucional,Vídeo,link,,,,,,18,,
CIMI Invest,MOU,MOU,link,PT,,,,,19,,
CIMI Invest,MOU,MOU,link,ENG,,,,,20,,
CIMI Invest,MOU,MOU,link,ESP,,,,,21,,
CIMI Invest,Missões Comerciais,Texto das missões,texto,,,,,,22,,
CIMI Invest,Missões Comerciais,MIPIM,evento,,,,,,23,,
CIMI Invest,Missões Comerciais,SIL,evento,,,,,,24,,
CIMI Invest,Missões Comerciais,SIMA,evento,,,,,,25,,
CIMI Invest,Missões Comerciais,Inmocionate,evento,,,,,,26,,
CIMI Invest,Missões Comerciais,The District,evento,,,,,,27,,
CIMI Invest,Missões Comerciais,LPS,evento,,,,,,28,,
CIMI Invest,Missões Comerciais,Florida Realtors Convention,evento,,,,,,29,,
CIMI Invest,Missões Comerciais,Miami Realtors Convention,evento,,,,,,30,,
CIMI Invest,Missões Comerciais,NAR Convention,evento,,,,,,31,,
CIMI Invest,Missões Comerciais,EXPO REAL,evento,,,,,,32,,
CIMI Invest,Missões Comerciais,FIABCI Global,evento,,,,,,33,,
CIMI Invest,Missões Comerciais,CILA Congresso,evento,,,,,,34,,
INDIP,Texto,Texto padrão,texto,,,"Olá, {primeiro_nome},
Foi um prazer estar com você no {evento}.",,,35,,
INDIP,Institucional,Sobre,link,,,,,,36,,
INDIP,Institucional,Site,link,,,,,,37,,
INDIP,Institucional,Flyer,link,,,,,,38,,
INDIP,Institucional,Vídeo,link,,,,,,39,,
INDIP,Institucional,Modelo de Contratação,link,,,,,,40,,
INDIP,MOU,MOU,link,PT,,,,,41,,
INDIP,MOU,MOU,link,ENG,,,,,42,,
INDIP,MOU,MOU,link,ESP,,,,,43,,
INDIP,Kit documentos,Estatuto,link,,,,,,44,,
INDIP,Kit documentos,Ata de posse da diretoria,link,,,,,,45,,
INDIP,Kit documentos,CNPJ,link,,,,,,46,,
Feirão dos Corretores,Texto,Texto padrão,texto,,,"Olá, {primeiro_nome},
Foi um prazer estar com você no {evento}.",,,47,,
Feirão dos Corretores,Institucional,Sobre,link,,,,,,48,,
Feirão dos Corretores,Institucional,Pesquisa Perfil,link,,,,,,49,,
Feirão dos Corretores,Institucional,Site Feirão,link,,,,,,50,,
Feirão dos Corretores,Institucional,Vídeo,link,,,,,,51,,
Feirão dos Corretores,Institucional,Flyer,link,,,,,,52,,
Reunião aleatória,Texto,Texto padrão,texto,,,"Olá, {primeiro_nome},
Foi um prazer conversar com você.",,,53,,
Reunião aleatória,Institucional,Sobre tudo que temos,link,,,,,,54,,Pode ser gerado automaticamente com o 'Sobre' de cada produto — confirmar
